model,experiment_label,criterion,score_type,copy_idx,valid_frames
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef,c1,direct,0,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef,c1,direct,1,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef,c1,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef,c2,direct,0,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef,c2,direct,1,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef,c2,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef,c3,direct,0,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef,c3,direct,1,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef,c3,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__fsv3__fs4,c1,direct,0,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__fsv3__fs4,c1,direct,1,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__fsv3__fs4,c1,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__fsv3__fs4,c2,direct,0,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__fsv3__fs4,c2,direct,1,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__fsv3__fs4,c2,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__fsv3__fs4,c3,direct,0,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__fsv3__fs4,c3,direct,1,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__fsv3__fs4,c3,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf,c1,direct,0,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf,c1,direct,1,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf,c1,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf,c2,direct,0,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf,c2,direct,1,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf,c2,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf,c3,direct,0,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf,c3,direct,1,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf,c3,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf__fsv3__fs4,c1,direct,0,782
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf__fsv3__fs4,c1,direct,1,781
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf__fsv3__fs4,c1,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf__fsv3__fs4,c2,direct,0,782
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf__fsv3__fs4,c2,direct,1,781
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf__fsv3__fs4,c2,direct,2,783
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf__fsv3__fs4,c3,direct,0,782
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf__fsv3__fs4,c3,direct,1,781
claude-haiku-4-5-20251001,direct__preset-direct__test_dev__critdef__ratdf__fsv3__fs4,c3,direct,2,783
claude-haiku-4-5-20251001,predicted_only__test_dev__critdef__fsv3__fs4,c1,direct,0,783
claude-haiku-4-5-20251001,predicted_only__test_dev__critdef__fsv3__fs4,c1,direct,1,783
claude-haiku-4-5-20251001,predicted_only__test_dev__critdef__fsv3__fs4,c1,direct,2,783
claude-haiku-4-5-20251001,predicted_only__test_dev__critdef__fsv3__fs4,c1,last2_product,0,783
